NO_OF_FRAMES	9217
NO_OF_CAMERAS	8
NO_OF_MARKERS	3
FREQUENCY	150
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-01-16, 10:54:23.294	2216.09629770
DATA_INCLUDED	3D
MARKER_NAMES	marker1		
Frame	Time	marker1 X	marker1 Y	marker1 Z	 X	 Y	 Z	 X	 Y	 Z	
267	1.77333	965.949	290.118	84.207	0.000	0.000	0.000	0.000	0.000	0.000
268	1.78000	965.864	290.079	84.202	0.000	0.000	0.000	0.000	0.000	0.000
269	1.78667	965.854	290.104	84.222	0.000	0.000	0.000	0.000	0.000	0.000
270	1.79333	965.821	290.069	84.201	0.000	0.000	0.000	0.000	0.000	0.000
271	1.80000	965.816	290.071	84.248	0.000	0.000	0.000	0.000	0.000	0.000
272	1.80667	965.740	290.079	84.250	0.000	0.000	0.000	0.000	0.000	0.000
273	1.81333	965.722	290.085	84.242	0.000	0.000	0.000	0.000	0.000	0.000
274	1.82000	965.723	290.088	84.241	0.000	0.000	0.000	0.000	0.000	0.000
275	1.82667	965.659	290.113	84.239	0.000	0.000	0.000	0.000	0.000	0.000
276	1.83333	965.640	290.127	84.227	0.000	0.000	0.000	0.000	0.000	0.000
277	1.84000	965.639	290.126	84.256	0.000	0.000	0.000	0.000	0.000	0.000
278	1.84667	965.616	290.124	84.227	0.000	0.000	0.000	0.000	0.000	0.000
279	1.85333	965.574	290.113	84.217	0.000	0.000	0.000	0.000	0.000	0.000
280	1.86000	965.557	290.131	84.233	0.000	0.000	0.000	0.000	0.000	0.000
281	1.86667	965.524	290.093	84.211	0.000	0.000	0.000	0.000	0.000	0.000
282	1.87333	965.547	290.094	84.235	0.000	0.000	0.000	0.000	0.000	0.000
283	1.88000	965.549	290.095	84.263	0.000	0.000	0.000	0.000	0.000	0.000
284	1.88667	965.511	290.073	84.257	0.000	0.000	0.000	0.000	0.000	0.000
285	1.89333	965.512	290.063	84.262	0.000	0.000	0.000	0.000	0.000	0.000
286	1.90000	965.506	290.079	84.245	0.000	0.000	0.000	0.000	0.000	0.000
287	1.90667	965.501	290.079	84.241	0.000	0.000	0.000	0.000	0.000	0.000
288	1.91333	965.457	290.052	84.102	0.000	0.000	0.000	0.000	0.000	0.000
289	1.92000	965.486	290.085	84.217	0.000	0.000	0.000	0.000	0.000	0.000
290	1.92667	965.469	290.102	84.217	0.000	0.000	0.000	0.000	0.000	0.000
291	1.93333	965.453	290.086	84.197	0.000	0.000	0.000	0.000	0.000	0.000
292	1.94000	965.446	290.104	84.218	0.000	0.000	0.000	0.000	0.000	0.000
